,u,w,n,agent,Ticket
1,[0.4],219.292,1,Agent C,True
2,[0.3036],197.4124,1,Agent C,True
3,[0.7695],281.5349,1,Agent A,True
4,[0.754],278.8194,1,Agent A,True
5,[0.3108],190.1198,1,Agent A,True
6,"[0.9678, 0.4957]",277.3225,2,Agent D,True
7,[0.2455],216.0977,1,Agent D,True
8,[0.7254],297.7595,1,Agent B,True
9,[0.4567],264.3307,1,Agent D,True
10,[0.4804],236.2131,1,Agent C,True
11,[0.5605],267.153,1,Agent B,True
12,[0.2667],221.4397,1,Agent D,True
13,[0.678],289.2242,1,Agent B,True
14,"[0.8637, 0.6586]",290.6738,2,Agent B,True
15,"[0.9255, 0.0177]",125.3002,2,Agent B,True
16,"[0.7789, 0.568]",291.6052,2,Agent D,True
17,[0.099],155.3611,1,Agent B,True
18,[0.1994],170.9146,1,Agent C,True
19,[0.4333],259.4265,1,Agent D,True
20,[0.2524],199.8527,1,Agent B,True
21,"[0.9234, 0.3096]",194.8361,2,Agent A,True
22,[0.1358],167.4081,1,Agent B,True
23,"[0.8615, 0.2865]",231.3024,2,Agent D,True
24,[0.598],274.3513,1,Agent B,True
25,"[0.879, 0.0937]",176.5113,2,Agent D,True
26,[0.3092],189.7415,1,Agent A,True
27,"[0.9865, 0.4475]",225.4128,2,Agent A,True
28,[0.6484],301.7932,1,Agent D,True
29,[0.5461],264.3465,1,Agent B,True
30,"[0.8246, 0.528]",241.7836,2,Agent A,True
31,[0.7346],317.3943,1,Agent D,True
32,[0.0396],149.8831,1,Agent D,True
33,[0.4788],268.8861,1,Agent D,True
34,[0.6863],290.7328,1,Agent B,True
35,[0.109],158.7641,1,Agent B,True
36,[0.1752],155.1451,1,Agent A,True
37,[0.1566],149.7278,1,Agent A,True
38,[0.5387],280.8946,1,Agent D,True
39,"[0.9913, 0.6836]",271.2427,2,Agent A,True
40,[0.2334],212.9798,1,Agent D,True
41,[0.3256],235.5884,1,Agent D,True
42,[0.0715],145.3443,1,Agent B,True
43,[0.5062],256.4378,1,Agent B,True
44,[0.0321],104.2409,1,Agent A,True
45,"[0.9552, 0.6136]",300.3012,2,Agent D,True
46,[0.6863],290.7328,1,Agent B,True
47,[0.3014],229.8881,1,Agent D,True
48,[0.273],180.9996,1,Agent A,True
49,[0.1977],161.4484,1,Agent A,True
50,[0.7201],296.8145,1,Agent B,True
51,"[0.8813, 0.658]",308.5635,2,Agent D,True
52,[0.6087],252.3773,1,Agent A,True
53,[0.6167],253.8844,1,Agent A,True
54,[0.1444],155.0576,1,Agent C,True
55,[0.1071],176.1258,1,Agent D,True
56,"[0.9875, 0.2845]",230.8164,2,Agent D,True
57,[0.5041],256.0159,1,Agent B,True
58,[0.4527],263.4984,1,Agent D,True
59,[0.162],175.3216,1,Agent B,True
60,[0.6275],279.9086,1,Agent B,True
61,[0.4886],270.8836,1,Agent D,True
62,[0.4835],269.8458,1,Agent D,True
63,"[0.8754, 0.5773]",251.397,2,Agent A,True
64,[0.0848],168.3243,1,Agent D,True
65,[0.3827],215.5077,1,Agent C,True
66,[0.3921],250.5708,1,Agent D,True
67,[0.0451],134.4085,1,Agent B,True
68,[0.3618],243.8588,1,Agent D,True
69,[0.168],177.072,1,Agent B,True
70,[0.3441],221.8513,1,Agent B,True
71,[0.7602],288.9078,1,Agent C,True
72,[0.6902],309.4395,1,Agent D,True
73,"[0.8554, 0.0595]",130.5782,2,Agent C,True
74,[0.4882],270.8023,1,Agent D,True
75,[0.0276],143.9188,1,Agent D,True
76,[0.6928],309.91,1,Agent D,True
77,[0.7145],313.8136,1,Agent D,True
78,[0.6077],276.1885,1,Agent B,True
79,[0.1753],155.1737,1,Agent A,True
80,[0.4552],246.0189,1,Agent B,True
81,"[0.9885, 0.9287, 0.7193]",306.6717,3,Agent B,True
82,[0.2511],217.5232,1,Agent D,True
83,[0.1246],163.8719,1,Agent B,True
84,[0.4907],271.3099,1,Agent D,True
85,[0.4355],217.8912,1,Agent A,True
86,"[0.8667, 0.9764, 0.743]",310.881,3,Agent B,True
87,[0.5035],273.8953,1,Agent D,True
88,[0.254],218.2573,1,Agent D,True
89,[0.6097],276.5661,1,Agent B,True
90,"[0.9921, 0.7062]",317.3252,2,Agent D,True
91,"[0.8756, 0.1902]",164.3752,2,Agent A,True
92,[0.0145],94.2711,1,Agent A,True
93,[0.4629],223.616,1,Agent A,True
94,[0.273],222.9996,1,Agent D,True
95,[0.7502],278.1509,1,Agent A,True
96,[0.1975],161.3934,1,Agent A,True
97,[0.6417],300.5525,1,Agent D,True
98,[0.5385],262.8553,1,Agent B,True
99,[0.5339],279.9494,1,Agent D,True
100,[0.6993],293.0835,1,Agent B,True
101,[0.6343],299.1772,1,Agent D,True
102,[0.4761],268.3334,1,Agent D,True
103,[0.5982],274.3892,1,Agent B,True
104,"[0.9284, 0.6059]",298.8483,2,Agent D,True
105,[0.3252],235.4954,1,Agent D,True
106,[0.0615],141.3934,1,Agent B,True
107,[0.234],213.1357,1,Agent D,True
108,[0.1075],143.2605,1,Agent C,True
109,[0.5405],281.2484,1,Agent D,True
110,"[0.8988, 0.4159]",227.7223,2,Agent C,True
111,[0.1233],181.4548,1,Agent D,True
112,"[0.9268, 0.9844, 0.7164]",291.1535,3,Agent C,True
113,[0.6098],261.5849,1,Agent C,True
114,[0.71],295.0074,1,Agent B,True
115,[0.6182],296.1662,1,Agent D,True
116,"[0.939, 0.4032]",224.986,2,Agent C,True
117,[0.0349],129.6308,1,Agent B,True
118,[0.1136],178.2942,1,Agent D,True
119,"[0.812, 0.3993]",257.14,2,Agent D,True
120,[0.0683],162.1013,1,Agent D,True
121,[0.1164],179.2154,1,Agent D,True
122,[0.1606],174.9101,1,Agent B,True
123,[0.036],148.1665,1,Agent D,True
124,[0.585],289.8734,1,Agent D,True
125,[0.2621],220.293,1,Agent D,True
126,[0.3216],216.6562,1,Agent B,True
127,"[0.9527, 0.6274]",284.8899,2,Agent B,True
128,"[0.953, 0.4905]",258.2693,2,Agent B,True
129,[0.4453],261.9522,1,Agent D,True
130,[0.4913],229.4316,1,Agent A,True
131,"[0.9558, 0.0911]",175.5911,2,Agent D,True
132,[0.441],243.0498,1,Agent B,True
133,"[0.8361, 0.6153]",267.6211,2,Agent C,True
134,[0.2532],185.0551,1,Agent C,True
135,[0.0016],83.2832,1,Agent A,True
136,"[0.8236, 0.8892, 0.2899]",219.126,3,Agent B,True
137,[0.6485],268.8117,1,Agent C,True
138,[0.3402],196.9591,1,Agent A,True
139,[0.5449],282.1115,1,Agent D,True
140,[0.1382],186.1529,1,Agent D,True
141,"[0.9646, 0.2939]",233.0908,2,Agent D,True
142,[0.6974],292.7408,1,Agent B,True
143,"[0.8427, 0.5627]",272.5796,2,Agent B,True
144,[0.5946],258.705,1,Agent C,True
145,"[0.8221, 0.0244]",129.1901,2,Agent B,True
146,[0.2958],210.5475,1,Agent B,True
147,[0.0678],119.9053,1,Agent A,True
148,[0.7327],317.0572,1,Agent D,True
149,[0.1412],169.078,1,Agent B,True
150,[0.74],276.3507,1,Agent A,True
151,[0.6567],303.3243,1,Agent D,True
152,[0.4444],261.7636,1,Agent D,True
153,"[0.9008, 0.4907]",258.3099,2,Agent B,True
154,"[0.8641, 0.0147]",141.402,2,Agent D,True
155,[0.2588],201.4662,1,Agent B,True
156,[0.0953],130.0733,1,Agent A,True
157,[0.2361],213.6801,1,Agent D,True
158,"[0.9686, 0.3119]",237.3794,2,Agent D,True
159,"[0.916, 0.4134]",242.1859,2,Agent B,True
160,[0.1422],187.3849,1,Agent D,True
161,[0.3552],224.3723,1,Agent B,True
162,[0.2669],221.4894,1,Agent D,True
163,[0.0574],157.7124,1,Agent D,True
164,[0.5037],255.9355,1,Agent B,True
165,[0.3325],219.1876,1,Agent B,True
166,[0.0915],170.7332,1,Agent D,True
167,[0.3541],224.1237,1,Agent B,True
168,[0.1785],180.0858,1,Agent B,True
169,[0.3853],249.08,1,Agent D,True
170,[0.0381],149.1745,1,Agent D,True
171,[0.7542],278.8546,1,Agent A,True
172,"[0.8842, 0.0103]",96.3615,2,Agent A,True
173,[0.6508],302.2366,1,Agent D,True
174,[0.335],219.7642,1,Agent B,True
175,"[0.7807, 0.1263]",187.4153,2,Agent D,True
176,"[0.9655, 0.453]",226.5609,2,Agent A,True
177,[0.2169],208.6398,1,Agent D,True
178,[0.06],158.7829,1,Agent D,True
179,[0.2397],214.6097,1,Agent D,True
180,"[0.9407, 0.9863, 0.452]",231.3525,3,Agent A,True
181,[0.2254],192.8888,1,Agent B,True
182,[0.3042],188.5552,1,Agent A,True
183,[0.5618],285.4051,1,Agent D,True
184,[0.0782],123.8883,1,Agent A,True
185,[0.2632],178.5678,1,Agent A,True
186,[0.5507],250.2456,1,Agent C,True
187,[0.1025],174.5647,1,Agent D,True
188,[0.1472],170.9088,1,Agent B,True
189,[0.391],208.3303,1,Agent A,True
190,[0.148],147.151,1,Agent A,True
191,[0.5767],270.2817,1,Agent B,True
192,[0.2692],222.0602,1,Agent D,True
193,[0.3533],241.9427,1,Agent D,True
194,"[0.8129, 0.5857]",295.0073,2,Agent D,True
195,"[0.9549, 0.9689, 0.2384]",182.2746,3,Agent A,True
196,[0.0181],138.5449,1,Agent D,True
197,[0.1681],153.101,1,Agent A,True
198,[0.664],304.6655,1,Agent D,True
199,[0.3178],233.7671,1,Agent D,True
200,[0.3769],205.2262,1,Agent A,True
201,[0.0978],172.9453,1,Agent D,True
202,[0.1565],173.6981,1,Agent B,True
203,[0.5719],269.3578,1,Agent B,True
204,[0.0396],116.8831,1,Agent C,True
205,[0.6517],284.4027,1,Agent B,True
206,[0.6537],260.7716,1,Agent A,True
207,[0.3116],214.3086,1,Agent B,True
208,"[0.803, 0.8513, 0.8619]",15.0,3,No agent reached,False
209,[0.1442],169.9966,1,Agent B,True
210,"[0.915, 0.1005]",178.8786,2,Agent D,True
211,[0.082],167.2988,1,Agent D,True
212,[0.7564],279.2411,1,Agent A,True
213,[0.6694],287.6546,1,Agent B,True
214,[0.12],162.3891,1,Agent B,True
215,[0.7591],321.7149,1,Agent D,True
216,[0.32],216.2823,1,Agent B,True
217,[0.4112],221.713,1,Agent C,True
218,[0.2402],172.7385,1,Agent A,True
219,"[0.9926, 0.3853]",254.08,2,Agent D,True
220,[0.4756],250.2309,1,Agent B,True
221,[0.311],232.167,1,Agent D,True
222,"[0.8732, 0.1609]",164.9984,2,Agent C,True
223,[0.1624],151.439,1,Agent A,True
224,[0.5158],234.3591,1,Agent A,True
225,[0.2046],187.3326,1,Agent B,True
226,[0.5609],285.2306,1,Agent D,True
227,[0.0748],146.6068,1,Agent B,True
228,[0.7283],298.2755,1,Agent B,True
229,"[0.8743, 0.2831]",230.4756,2,Agent D,True
230,[0.292],209.633,1,Agent B,True
231,[0.7346],317.3943,1,Agent D,True
232,"[0.9492, 0.7253]",320.7417,2,Agent D,True
233,"[0.9788, 0.7487]",324.8866,2,Agent D,True
234,[0.4838],227.9069,1,Agent A,True
235,[0.2165],208.5333,1,Agent D,True
236,[0.1674],194.8979,1,Agent D,True
237,[0.4266],240.0061,1,Agent B,True
238,[0.4065],253.6997,1,Agent D,True
239,[0.1701],195.6796,1,Agent D,True
240,[0.399],252.0748,1,Agent D,True
241,[0.2914],194.4883,1,Agent C,True
242,[0.3225],234.8663,1,Agent D,True
243,[0.3894],216.9799,1,Agent C,True
244,[0.1807],165.7097,1,Agent C,True
245,"[0.8397, 0.9652, 0.3465]",232.3986,3,Agent B,True
246,"[0.8262, 0.8047, 0.7611]",332.0656,3,Agent D,True
247,"[0.7954, 0.701]",298.3898,2,Agent B,True
248,[0.305],212.7455,1,Agent B,True
249,[0.2253],177.8625,1,Agent C,True
250,[0.6973],310.7228,1,Agent D,True
251,[0.683],275.1337,1,Agent C,True
252,[0.6393],258.107,1,Agent A,True
253,[0.0733],164.0353,1,Agent D,True
254,[0.7093],312.8818,1,Agent D,True
255,[0.452],263.3525,1,Agent D,True
256,[0.4136],213.2288,1,Agent A,True
257,[0.0756],146.9101,1,Agent B,True
258,[0.1818],199.0206,1,Agent D,True
259,[0.1645],152.0535,1,Agent A,True
260,"[0.8572, 0.9595, 0.6987]",278.9753,3,Agent A,True
261,[0.4246],257.5807,1,Agent D,True
262,[0.03],145.1717,1,Agent D,True
263,"[0.7873, 0.6581]",290.5819,2,Agent B,True
264,"[0.8808, 0.754]",307.8194,2,Agent B,True
265,[0.2077],164.1722,1,Agent A,True
